SampleID,ASV,Count
FMT.0218C,ASV_1,2.0
FMT.0244B,ASV_1,3739.0
FMT.0244C,ASV_1,356.0
FMT.0244J,ASV_1,683.0
FMT.0244M,ASV_1,250.0
FMT.0248C,ASV_1,10599.0
FMT.0248H,ASV_1,422.0
FMT.0250C,ASV_1,6553.0
FMT.0250D,ASV_1,5810.0
FMT.0250E,ASV_1,1549.0
FMT.0250F,ASV_1,7.0
FMT.0250H,ASV_1,33.0
FMT.0250I,ASV_1,126.0
FMT.0250J,ASV_1,218.0
FMT.0250P,ASV_1,238.0
FMT.0250R,ASV_1,386.0
1802A,ASV_1,1399.0
1802B,ASV_1,352.0
1802D,ASV_1,578.0
1802H,ASV_1,668.0
1806A,ASV_1,190.0
1806C,ASV_1,385.0
1806D,ASV_1,950.0
1809D,ASV_1,513.0
1809M,ASV_1,206.0
1810A,ASV_1,114.0
1810C,ASV_1,701.0
1814G,ASV_1,145.0
1814L,ASV_1,24511.0
1814M,ASV_1,2574.0
1814N,ASV_1,27352.0
1814O,ASV_1,1973.0
1398I,ASV_1,17344.0
1398J,ASV_1,207.0
1658G,ASV_1,613.0
1658H,ASV_1,32501.0
1658I,ASV_1,6492.0
1658J,ASV_1,3778.0
1658K,ASV_1,3462.0
1665B,ASV_1,11988.0
1665C,ASV_1,258.0
1665G,ASV_1,22758.0
1665H,ASV_1,14232.0
1665I,ASV_1,4385.0
1665K,ASV_1,20008.0
1680B,ASV_1,1109.0
FMT.0242G,ASV_1,9224.0
FMT.0242H,ASV_1,8276.0
FMT.0242I,ASV_1,13826.0
FMT.0245B,ASV_1,10460.0
FMT.0245D,ASV_1,5397.0
FMT.0245E,ASV_1,92.0
FMT.0245F,ASV_1,6683.0
FMT.0245H,ASV_1,15775.0
FMT.0245I,ASV_1,15516.0
1432I,ASV_1,256.0
1432K,ASV_1,1127.0
1432L,ASV_1,1101.0
1432O,ASV_1,186.0
1443A,ASV_1,19604.0
1443B,ASV_1,5519.0
1443C,ASV_1,1677.0
1443E,ASV_1,595.0
1443F,ASV_1,1658.0
1443G,ASV_1,491.0
FMT.0125P,ASV_1,216.0
FMT.0125Q,ASV_1,80.0
FMT.0125R,ASV_1,7031.0
FMT.0125S,ASV_1,76.0
FMT.0161B,ASV_1,488.0
FMT.0161Q,ASV_1,149.0
FMT.0161T,ASV_1,146.0
FMT.0165L,ASV_1,88.0
FMT.0169O,ASV_1,218.0
FMT.0169P,ASV_1,16.0
FMT.0171H,ASV_1,125.0
FMT.0171I,ASV_1,102.0
FMT.0171L,ASV_1,1366.0
FMT.0171M,ASV_1,352.0
FMT.0171N,ASV_1,54.0
FMT.0172J,ASV_1,228.0
FMT.0172K,ASV_1,60.0
FMT.0172L,ASV_1,978.0
FMT.0172M,ASV_1,122.0
FMT.0180D,ASV_1,1404.0
FMT.0180E,ASV_1,3665.0
FMT.0180F,ASV_1,22845.0
FMT.0180G,ASV_1,353.0
FMT.0180H,ASV_1,177.0
FMT.0180I,ASV_1,1903.0
1642O,ASV_1,102.0
1642P,ASV_1,6305.0
1642R,ASV_1,1805.0
1644A,ASV_1,298.0
1644C,ASV_1,864.0
1710A,ASV_1,110.0
1710C,ASV_1,3280.0
1710F,ASV_1,3208.0
1710G,ASV_1,8816.0
1710H,ASV_1,3255.0
1710J,ASV_1,4909.0
1710K,ASV_1,1650.0
1801D,ASV_1,564.0
FMT.0238C,ASV_1,1627.0
FMT.0249B,ASV_1,519.0
FMT.0250U,ASV_1,1233.0
FMT.0250V,ASV_1,3789.0
FMT.0250W,ASV_1,234.0
1893E,ASV_1,1262.0
1893F,ASV_1,58500.0
1893H,ASV_1,57792.0
1896B,ASV_1,123.0
1896C,ASV_1,46.0
1896E,ASV_1,183.0
1896F,ASV_1,8.0
1902C,ASV_1,77.0
1902I,ASV_1,16.0
1909D,ASV_1,1176.0
1909F,ASV_1,950.0
1909I,ASV_1,7612.0
1909J,ASV_1,367.0
1909K,ASV_1,24.0
1909M,ASV_1,1449.0
1915A,ASV_1,14.0
1915B,ASV_1,494.0
1921D,ASV_1,11.0
1921E,ASV_1,2872.0
1921F,ASV_1,50.0
1934B,ASV_1,236.0
1934D,ASV_1,1519.0
1934G,ASV_1,1594.0
1934H,ASV_1,19.0
1934I,ASV_1,25.0
1684A,ASV_1,3560.0
1684B,ASV_1,3904.0
1684C,ASV_1,6118.0
1684D,ASV_1,7395.0
1684E,ASV_1,2532.0
1684F,ASV_1,8530.0
1686A,ASV_1,7763.0
1686C,ASV_1,464.0
1686E,ASV_1,11031.0
1686F,ASV_1,1616.0
1686H,ASV_1,1063.0
1686J,ASV_1,664.0
1686K,ASV_1,1387.0
1686L,ASV_1,899.0
1687A,ASV_1,4132.0
1687B,ASV_1,2197.0
1705T,ASV_1,86.0
1705V,ASV_1,2153.0
1713A,ASV_1,611.0
1713B,ASV_1,5677.0
1713E,ASV_1,3588.0
1713F,ASV_1,3510.0
1713G,ASV_1,385.0
1713I,ASV_1,1141.0
1713J,ASV_1,2030.0
1713K,ASV_1,953.0
1713L,ASV_1,920.0
1713M,ASV_1,1109.0
1713N,ASV_1,2559.0
1713O,ASV_1,6768.0
1713Q,ASV_1,241.0
1716C,ASV_1,20413.0
1720D,ASV_1,260.0
1720G,ASV_1,7405.0
1720H,ASV_1,5790.0
1720I,ASV_1,1690.0
1720J,ASV_1,4164.0
1720K,ASV_1,6373.0
1720L,ASV_1,3200.0
1728B,ASV_1,98.0
1728C,ASV_1,871.0
1728F,ASV_1,89.0
1731A,ASV_1,1303.0
1731E,ASV_1,172.0
1731F,ASV_1,552.0
1731G,ASV_1,1029.0
1731I,ASV_1,176.0
1731K,ASV_1,2989.0
1757K,ASV_1,1649.0
1757M,ASV_1,409.0
1757S,ASV_1,111.0
