SampleID,qPCR18S
1192AA,0.0
1192BB,0.0
1192CC,0.0
1192DD,0.0
1192EE,0.0
1192FF,0.0
1671G,0.0
1671H,0.0
1757J,0.0
1818J,0.0
1818J,0.0
FMT.0241B,0.0
1687L,0.0
1751H,1.6805555555555556
1695F,3.5
1816C,10.721673225534373
1751J,11.465530241689375
1814I,12.297623117944593
1816E,25.379705749102087
1814J,43.473780155181885
1823G,45.99120342329647
1772H,49.27196865340313
1802L,51.0176420211792
1734F,55.409221578452545
1809D,56.15176825687803
1809F,58.81579882568784
1823E,59.948934242129326
1751M,79.88548203703704
1713K,83.31629581113562
1823I,87.88968894466664
1751K,92.5825
1723B,96.18188707
1695G,102.0
FMT.0033Z,109.4589814
1814H,110.2515506400098
1823H,111.16488921789475
1734J,114.67762496493278
1816F,128.7499438510852
FMT.0033AA,152.5391775
FMT.0033X,159.2854259
FMT.0033W,160.7459086
1700G,189.55967606557374
1751I,193.72676923076926
1713J,205.30642084328522
1802J,220.925480256349
FMT.0033Y,228.4682234
1751L,234.1677391304348
1809G,244.62390432552417
1751C,265.8900849858357
1192GG,266.0636958621797
1751F,289.39177798941955
FMT.0248F,292.2175273
FMT.0248G,344.3904128
1192II,344.53832697204024
1772D,377.31491693175667
698G,411.82417413849373
FMT.0033CC,422.5505495
1687K,437.5736852
1710C,443.6971316035962
1772I,507.56788099875473
1824F,537.2217961023288
1814F,615.5331635180816
1772N,659.0149039229495
1734I,664.6817822918845
1687J,669.4463485
1734E,685.7240090273581
1734H,717.0730982071314
1192NN,732.8749878
1700D,739.3696604819278
1736B,901.5025365805658
1691E,1058.5873862014316
1798J,1099.21452937982
1192V,1167.45483918002
FMT.0243J,1178.793272
1192JJ,1183.435317
FMT.0243H,1230.28397
FMT.0098V,1286.628814
1734L,1412.525113
FMT.0010E,1463.074300480985
1823M,1592.737911957238
1710B,1594.8798683252228
1809H,1613.5921362440595
FMT.0010C,1710.3908275542633
1809C,1812.5763235166091
1814K,1869.526460101911
1671B,1889.0141063042306
1734K,1970.536565
1806G,2187.098041782534
1734A,2187.8704162464683
1816B,2201.3769478633485
1684B,2271.203782823351
1730D,2320.70433791453
1802M,2531.8227906613033
1665A,2574.093553441516
1734O,2634.168741
1823J,2961.2005047681855
1816J,2973.813657407408
1671I,3024.865645
972H,3480.3021310389727
1776E,3627.950683628707
1806B,3703.4583470178027
1751E,3704.242891566265
1656F,3712.7521854406136
1671F,3713.930849
1823D,3729.9557778402727
1678A,3777.4334116878667
1776K,3982.2764862748913
1192HH,4016.6896089004663
1734R,4459.630506
1691H,4693.578307881898
1665H,4954.752123918656
1823L,4991.913105333819
1772G,5550.2922390751355
FMT.0248D,5835.622955
1806E,5871.92664166543
1814Q,6068.197268026846
1656C,6299.487863829787
1691D,6535.622883832991
1776L,6557.219540440919
1759B,6754.075558249521
1809E,6811.054034110826
1734N,6811.835084
1806F,6814.968649911698
1806C,6879.573704041157
1751B,6982.1796610169495
1791A,7669.435422518727
1810B,7752.3046875
1192OO,7856.38701
1776D,7900.827511
1710A,7959.435188498803
FMT.0035D,7963.894626550507
1657J,8496.696492140922
1713L,8728.234628137432
FMT.0033V,8851.147891
FMT.0250A,9206.047655
1751D,9558.048902821318
1755B,9673.186311787073
1192QQ,9908.209414
1690A,10212.49376494309
FMT.0028D,10427.59012858073
1802P,11282.36572
1684D,12058.587966988618
1734M,12276.41381
FMT.0050C,12871.035090908228
1755A,13080.957960301514
FMT.0020I,13504.64961988509
1818K,13784.075842963326
1809A,14282.617171605427
1751N,14309.81264672897
FMT.0035C,14829.029538045546
1751G,14980.93166234303
FMT.0063N,15697.734257946277
1657D,15720.204021884496
FMT.0050D,16550.048908540222
1705F,16958.455557775018
FMT.0063D,17157.411152371693
1772F,17238.52248418899
1642H,17526.67044
1705E,18073.918344111342
1192PP,18454.3317
1644B,19540.74981939784
1687M,20102.54764691016
1720G,20198.205196496212
1657F,20199.511327615783
FMT.0250C,20703.79348
1691C,21013.507147377284
FMT.0010F,21742.06453211167
1810D,22000.76623477846
1657I,22108.008066666665
1802E,22438.170335632185
FMT.0010L,22742.926733834403
1814P,23594.88099994081
1658H,24468.92734743514
1657A,25173.946158730156
1766L,25956.21402051571
1814G,26383.38481960584
FMT.0033BB,27830.19264
1736C,28189.24586
1192MM,28835.24171
1684E,29189.36356254246
1192LL,29452.87277
1709B,29715.80009
1789A,30590.742522594974
1657G,30645.623342857147
1687F,30693.812012980463
1731C,31266.145299692624
1751A,31276.592991913745
1823C,32058.081921236015
1766D,32080.743153889976
FMT.0239F,32130.55342662184
1671C,32174.21704076052
1686G,32561.52464611696
1687O,32668.44210417374
1658I,33063.82541612034
698H,33296.5087890625
1657B,33444.31201656315
1806A,33573.140092329544
